timestamp,NW_Hydro_for_CAISO
7/1/2007, 0.70807 
8/1/2007, 0.61578 
9/1/2007, 0.51263 
10/1/2007, 0.56559 
11/1/2007, 0.60973 
12/1/2007, 0.70624 
1/1/2008, 0.74987 
2/1/2008, 0.66349 
3/1/2008, 0.70572 
4/1/2008, 0.65847 
5/1/2008, 0.92851 
6/1/2008, 0.99606 
7/1/2008, 0.78976 
8/1/2008, 0.57933 
9/1/2008, 0.53833 
10/1/2008, 0.56769 
11/1/2008, 0.61709 
12/1/2008, 0.70836 
1/1/2009, 0.81236 
2/1/2009, 0.62622 
3/1/2009, 0.66303 
4/1/2009, 0.80576 
5/1/2009, 0.90007 
6/1/2009, 0.93000 
7/1/2009, 0.65124 
8/1/2009, 0.52670 
9/1/2009, 0.49774 
10/1/2009, 0.54947 
11/1/2009, 0.62580 
12/1/2009, 0.70348 
1/1/2010, 0.64355 
2/1/2010, 0.58730 
3/1/2010, 0.59657 
4/1/2010, 0.55919 
5/1/2010, 0.73865 
6/1/2010, 0.93278 
7/1/2010, 0.71937 
8/1/2010, 0.55293 
9/1/2010, 0.52521 
10/1/2010, 0.59843 
11/1/2010, 0.65766 
12/1/2010, 0.72548 
1/1/2011, 0.88401 
2/1/2011, 0.88427 
3/1/2011, 0.93278 
4/1/2011, 0.93278 
5/1/2011, 0.93278 
6/1/2011, 0.93410 
7/1/2011, 0.93226 
8/1/2011, 0.76156 
9/1/2011, 0.62305 
10/1/2011, 0.64208 
11/1/2011, 0.68373 
12/1/2011, 0.72466 
1/1/2012, 0.73927 
2/1/2012, 0.68436 
3/1/2012, 0.88270 
4/1/2012, 0.92931 
5/1/2012, 0.93278 
6/1/2012, 0.93171 
7/1/2012, 0.90011 
8/1/2012, 0.77121 
9/1/2012, 0.60256 
10/1/2012, 0.56907 
11/1/2012, 0.70853 
12/1/2012, 0.87876 
1/1/2013, 0.86867 
2/1/2013, 0.67100 
3/1/2013, 0.65737 
4/1/2013, 0.84161 
5/1/2013, 0.93167 
6/1/2013, 0.88477 
7/1/2013, 0.78877 
8/1/2013, 0.64118 
9/1/2013, 0.55609 
10/1/2013, 0.61869 
11/1/2013, 0.65269 
12/1/2013, 0.69902 
1/1/2014, 0.70204 
2/1/2014, 0.61109 
3/1/2014, 0.92223 
4/1/2014, 0.89034 
5/1/2014, 0.93278 
6/1/2014, 0.91182 
7/1/2014, 0.82003 
8/1/2014, 0.63291 
9/1/2014, 0.53703 
10/1/2014, 0.57882 
11/1/2014, 0.68645 
12/1/2014, 0.82765 
1/1/2015, 0.89407 
2/1/2015, 0.90884 
3/1/2015, 0.91478 
4/1/2015, 0.74483 
5/1/2015, 0.72438 
6/1/2015, 0.65625 
7/1/2015, 0.59318 
8/1/2015, 0.59287 
9/1/2015, 0.55571 
10/1/2015, 0.56681 
11/1/2015, 0.65878 
12/1/2015, 0.71902 
1/1/2016, 0.74834 
2/1/2016, 0.77024 
3/1/2016, 0.93278 
4/1/2016, 0.92169 
5/1/2016, 0.88642 
6/1/2016, 0.75876 
7/1/2016, 0.65188 
8/1/2016, 0.58701 
9/1/2016, 0.54830 
10/1/2016, 0.65021 
11/1/2016, 0.76234 
12/1/2016, 0.82977 
1/1/2017, 0.85886 
2/1/2017, 0.82062 
3/1/2017, 0.93716 
4/1/2017, 0.91731 
5/1/2017, 0.93716 
6/1/2017, 0.93071 
7/1/2017, 0.73560 
8/1/2017, 0.58961 
9/1/2017, 0.61356 
10/1/2017, 0.58038 
11/1/2017, 0.65834 
12/1/2017, 0.78094 
1/1/2018, 0.90487 
2/1/2018, 0.89616 
3/1/2018, 0.88588 
4/1/2018, 0.88028 
5/1/2018, 0.93278 
6/1/2018, 0.87457 
7/1/2018, 0.70785 
8/1/2018, 0.60232 
9/1/2018, 0.55765 
10/1/2018, 0.57501 
11/1/2018, 0.67165 
12/1/2018, 0.67849 
1/1/2019, 0.71069 
2/1/2019, 0.66276 
3/1/2019, 0.70975 
4/1/2019, 0.74179 
5/1/2019, 0.88135 
6/1/2019, 0.76206 
7/1/2019, 0.62995 
8/1/2019, 0.60540 
9/1/2019, 0.53280 
10/1/2019, 0.55881 
11/1/2019, 0.65307 
12/1/2019, 0.65413 
1/1/2020, 0.74362 
2/1/2020, 0.81072 
3/1/2020, 0.69207 
4/1/2020, 0.61689 
5/1/2020, 0.89904 
6/1/2020, 0.87680 
7/1/2020, 0.81932 
8/1/2020, 0.69110 
9/1/2020, 0.58464 
10/1/2020, 0.60376 
11/1/2020, 0.69622 
12/1/2020, 0.71990 
